Cosine Interval,2s,1s,0s
0.0,0,0,255
0.01,0,0,71
0.02,0,0,70
0.03,0,0,71
0.04,0,0,89
0.05,0,0,113
0.06,0,0,128
0.07,0,0,145
0.08,0,0,146
0.09,0,0,213
0.1,0,0,243
0.11,0,0,267
0.12,0,0,295
0.13,0,0,323
0.14,0,0,336
0.15,0,0,369
0.16,0,0,423
0.17,0,0,487
0.18,0,1,566
0.19,0,0,567
0.2,0,0,643
0.21,0,1,680
0.22,0,1,801
0.23,0,4,816
0.24,0,4,865
0.25,0,6,934
0.26,0,9,1022
0.27,0,17,1053
0.28,0,21,1154
0.29,0,33,1180
0.3,0,36,1278
0.31,0,48,1326
0.32,0,57,1338
0.33,0,74,1322
0.34,0,96,1470
0.35,0,124,1423
0.36,0,154,1523
0.37,0,209,1515
0.38,0,290,1464
0.39,0,331,1560
0.4,0,408,1563
0.41,0,492,1537
0.42,0,630,1537
0.43,0,667,1569
0.44,0,788,1445
0.45,0,953,1453
0.46,0,1049,1403
0.47,0,1201,1284
0.48,0,1434,1333
0.49,0,1647,1232
0.5,0,1722,1297
0.51,0,1937,1182
0.52,1,2034,1123
0.53,1,2247,1001
0.54,3,2294,969
0.55,3,2393,888
0.56,6,2567,839
0.57,19,2620,811
0.58,27,2634,704
0.59,55,2745,678
0.6,88,2725,572
0.61,142,2629,598
0.62,263,2580,493
0.63,408,2516,459
0.64,631,2475,402
0.65,938,2375,354
0.66,1288,2246,315
0.67,1867,2038,267
0.68,2412,1939,247
0.69,3056,1752,223
0.7,3926,1577,213
0.71,4299,1457,175
0.72,4894,1266,137
0.73,5395,1129,126
0.74,5543,917,119
0.75,5701,831,99
0.76,5574,697,84
0.77,4935,592,62
0.78,4338,501,60
0.79,3765,408,45
0.8,3090,338,46
0.81,2392,293,37
0.82,1902,203,28
0.83,1330,169,22
0.84,921,128,22
0.85,595,120,16
0.86,410,76,11
0.87,258,74,11
0.88,139,37,19
0.89,87,37,9
0.9,48,27,7
0.91,19,18,5
0.92,13,15,3
0.93,11,7,2
0.94,1,5,2
0.95,0,8,3
0.96,2,2,3
0.97,1,2,1
0.98,0,0,1
0.99,0,3,0
1.0,0,3,0
