dm	epochs	min_count	vector_size	window	workers	AUC
0	15	1	256	5	8	0.582
0	15	1	256	7	8	0.5817
0	15	1	256	9	8	0.5822
0	15	1	512	5	8	0.5841
0	15	1	512	7	8	0.5841
0	15	1	512	9	8	0.5838
0	15	3	256	5	8	0.5808
0	15	3	256	7	8	0.5799
0	15	3	256	9	8	0.5806
0	15	3	512	5	8	0.5822
0	15	3	512	7	8	0.5822
0	15	3	512	9	8	0.5822
0	15	5	256	5	8	0.5792
0	15	5	256	7	8	0.5803
0	15	5	256	9	8	0.579
0	15	5	512	5	8	0.5819
0	15	5	512	7	8	0.5813
0	15	5	512	9	8	0.581
1	15	1	256	5	8	0.5886
1	15	1	256	7	8	0.5888
1	15	1	256	9	8	0.5848
1	15	1	512	5	8	0.5872
1	15	1	512	7	8	0.5861
1	15	1	512	9	8	0.5831
1	15	3	256	5	8	0.5946
1	15	3	256	7	8	0.5918
1	15	3	256	9	8	0.591
1	15	3	512	5	8	0.5923
1	15	3	512	7	8	0.5903
1	15	3	512	9	8	0.5875
1	15	5	256	5	8	0.5969
1	15	5	256	7	8	0.5952
1	15	5	256	9	8	0.5917
1	15	5	512	5	8	0.5942
1	15	5	512	7	8	0.5925
1	15	5	512	9	8	0.5889
