dm	epochs	min_count	vector_size	window	workers	AUC
0	15	1	256	5	16	0.6615
0	15	1	256	7	16	0.6613
0	15	1	256	9	16	0.6615
0	15	1	512	5	16	0.6607
0	15	1	512	7	16	0.6609
0	15	1	512	9	16	0.661
0	15	3	256	5	16	0.6556
0	15	3	256	7	16	0.656
0	15	3	256	9	16	0.6559
0	15	3	512	5	16	0.6559
0	15	3	512	7	16	0.6558
0	15	3	512	9	16	0.6558
0	15	5	256	5	16	0.6527
0	15	5	256	7	16	0.6533
0	15	5	256	9	16	0.6527
0	15	5	512	5	16	0.6528
0	15	5	512	7	16	0.6525
0	15	5	512	9	16	0.6528
1	15	1	256	5	16	0.6305
1	15	1	256	7	16	0.6265
1	15	1	256	9	16	0.6226
1	15	1	512	5	16	0.6306
1	15	1	512	7	16	0.6264
1	15	1	512	9	16	0.6212
1	15	3	256	5	16	0.6374
1	15	3	256	7	16	0.6343
1	15	3	256	9	16	0.6298
1	15	3	512	5	16	0.6377
1	15	3	512	7	16	0.6349
1	15	3	512	9	16	0.6303
1	15	5	256	5	16	0.64
1	15	5	256	7	16	0.6376
1	15	5	256	9	16	0.6335
1	15	5	512	5	16	0.6393
1	15	5	512	7	16	0.6371
1	15	5	512	9	16	0.6332
0	15	0	256	5	16	0.6616
0	15	0	256	7	16	0.6614
0	15	0	256	9	16	0.6613
0	15	0	512	5	16	0.6613
0	15	0	512	7	16	0.6613
0	15	0	512	9	16	0.6612
