PMID	title	abstract
20441857	An empirical MeSHQ000032 of MeSHD000072480 vehicle crash MeSHD014947 severities on MeSHD007484's public road system.	MeSHD000072480 vehicle crashes are a major MeSHD012449 concern for MeSHD000067565 as well as all other users of the public road system in agricultural states. Using data on MeSHD000072480 vehicle crashes that occurred on MeSHD007484's public roads between 2004 and 2006, we estimate a multinomial MeSHD016015 to identify crash-, MeSHD000072480 vehicle-, and driver-specific factors that determine MeSHD000072480 vehicle crash MeSHD014947 severity outcomes. Estimation MeSHQ000175 indicate that there are crash patterns (rear-end manner of collision; single-vehicle crash; MeSHD000072480 vehicle crossed the centerline or median) and conditions (obstructed MeSHD014785 and crash in rural area; dry road, dark MeSHD008029, speed limit 55 mph or higher, and harvesting MeSHD012621), as well as MeSHD000072480 vehicle and driver-contributing characteristics (old MeSHD000072480 vehicle, young MeSHD000072480 vehicle driver), where targeted intervention can help reduce the severity of crash outcomes. Determining these contributing factors and their effect is the first step to identifying countermeasures and MeSHD012449 strategies in a bid to improve MeSHD014186 MeSHD012449 for all users on the public road system in MeSHD007484 as well as other agricultural states.
19240225	Meta- and pooled MeSHQ000032 of GSTP1 polymorphism and MeSHD008175: a HuGE-GSEC MeSHD016454.	MeSHD008175 is the most common MeSHD009369 worldwide. Polymorphisms in MeSHD005796 associated with MeSHD002273 MeSHQ000378 may modulate MeSHD012306 of MeSHD004194. MeSHD051549 (GSTP1) detoxifies MeSHD011084 found in MeSHD062789 MeSHD012906 and is the most highly expressed MeSHD005982 in MeSHD008168 MeSHD014024. A polymorphism in the GSTP1 MeSHD005796, an A-to-G transition in MeSHD005091 5 (Ile105Val, 313A --> 313G), results in lower activity among individuals who carry the MeSHD014633 MeSHD000483. The authors present a meta- and a pooled MeSHQ000032 of MeSHD016022 that examined the MeSHD001244 between this polymorphism in GSTP1 and MeSHD008175 MeSHD012306 (27 studies, 8,322 cases and 8,844 MeSHQ000517 and 15 studies, 4,282 cases and 5,032 MeSHQ000517, respectively). MeSHD016424, the MeSHD017418 found no significant MeSHD001244 between MeSHD008175 MeSHD012306 and the GSTP1 MeSHD005091 5 polymorphism. In the pooled MeSHQ000032, there was an MeSHD016424 MeSHD001244 (MeSHD016017 = 1.11, 95% MeSHD016001: 1.03, 1.21) between MeSHD008175 and carriage of the GSTP1 Val/Val or Ile/Val MeSHD005838 compared with those MeSHD017770 the Ile/Ile MeSHD005838. Increased MeSHD012306 varied by histologic type in MeSHD044466. There appears to be evidence for interaction between amount of MeSHD012907, the GSTP1 MeSHD005091 5 polymorphism, and MeSHD012306 of MeSHD008175 in MeSHD044465.
23553297	A novel patellofemoral scoring system for MeSHD057071 status.	We were not aware of a well-validated MeSHD057071-specific scoring system. We performed this study to develop and validate a scoring system (Samsung Medical Center [SMC] patellofemoral scoring system) suitable for the evaluation of MeSHD057071 status. We recruited 179 individuals consisting of a study group of 123 MeSHD010361 with anterior MeSHD007717 MeSHD010146 but without MeSHD010146 in another part of the MeSHD007717, twenty-eight MeSHD010361 with MeSHD007717 MeSHD010146 other than anterior MeSHD007717 MeSHD010146 (group A), and twenty-eight MeSHD064368 without MeSHD007717 MeSHD010146 (group B). Items in the MeSHQ000254 of the scoring system that showed a significant difference between the study group and group A and between the study group and the group B were selected. MeSHD015203 was measured by intraclass correlation coefficient, internal consistency was measured by the Cronbach alpha, content validity was assessed by ceiling and MeSHD005430 effects, and construct validity was determined by the MeSHD001244 of the Feller scores and the SMC patellofemoral scores. After the item verification process, seventeen items (eight items for MeSHD046788 and nine items for patellofemoral MeSHQ000502) were selected. MeSHD015203 for MeSHD016424 SMC patellofemoral scores showed excellent reliability (intraclass correlation coefficient, 0.85), and internal consistency was excellent (Cronbach alpha, 0.97). MeSHD005430 and ceiling effects were acceptable (<30%) for all the items of the SMC patellofemoral scoring system, except one: MeSHD000077708 down on a chair, in the patellofemoral MeSHQ000502 score. The SMC patellofemoral scores showed moderate correlation with the Feller scores (ρ = -0.45). The SMC patellofemoral score is a novel scoring system that distinguishes MeSHD010361 with anterior MeSHD007717 MeSHD010146 or patellofemoral MeSHQ000503 from MeSHD010361 with MeSHD007717 MeSHD010146 or MeSHQ000503 arising from other MeSHD007717 problems, and from those without MeSHD007717 MeSHD010146. The MeSHD015203 of the SMC patellofemoral scoring system were verified in the present study.
26380768	MeSHD016449 of induction MeSHQ000628 and MeSHQ000601 versus combined MeSHD004358 and MeSHQ000532 in stages IIIA-N2 NSCLC: a MeSHD000078182 and MeSHD017418.	The efficacy of induction MeSHQ000628 plus MeSHQ000601 for improving postoperative MeSHD013534 in MeSHD010361 with MeSHD002289 (NSCLC) in stages IIIA-N2 is controversial, especially compared with the combined MeSHD004358 and MeSHQ000532. We therefore performed a MeSHD000078182 and MeSHD017418 of the published phase III randomized MeSHD016430 (RCTs) to quantitatively evaluate the MeSHD013534 benefit of preoperative induction MeSHQ000628 vs. combined MeSHD059248. We systematically searched for trials that started after January, 1980. We excluded relevant studies using the Preferred Reporting Items for MeSHD000078182 and Meta-analyses (PRISMA) MeSHD012015. Our primary endpoint, MeSHD016424 MeSHD013534 (OS), was defined as the MeSHD013995 from randomisation until MeSHD003643 (any cause). MeSHQ000556 endpoint was MeSHD000077982 (PFS). MeSHD039781, EMBASE and Cochrane MeSHD007990 were used for the study search. All analyses were by MeSHD033182 to treat. Three studies (1,084 MeSHD010361) were centrally selected and analyzed for the present MeSHD017418. Combination of the three MeSHD016449 showed that there was no significant benefit of induction MeSHQ000628 plus MeSHQ000601 compared to combined MeSHD059248 on 2-year OS [MeSHD016017 (RR) =1.00; 95% CI, 0.85-1.17; P=0.98] and 4-year OS (RR =1.13; 95% CI, 0.85-1.51; P=0.39). However, from the subgroup MeSHQ000032, it showed a significant PFS benefit (RR =1.78; 95% CI, 1.08-2.92; P=0.02) regarded MeSHD059248 as preoperative induction MeSHQ000628, compared with MeSHD004358 alone for induction MeSHQ000628 (PFS) (RR =1.05; 95% CI, 0.61-1.81; P=0.86). There was no significant OS benefit of induction MeSHQ000628 plus MeSHQ000601 compared with combined MeSHD059248 in MeSHD010361 with NSCLC (stages IIIA-pN2) at 2 and 4 years. However, we could conclude PFS could be improved when MeSHQ000532 was added into preoperative induction MeSHQ000628. Given the potential advantages of adding MeSHD011827 preoperatively, clinicians should consider using this MeSHQ000628 strategy in the stage IIIA-N2 MeSHD004194 after fully assessment of the MeSHD010361.
19695851	MeSHD000428 and MeSHD000082742 in older lifelong MeSHD014920 drinkers: the Italian MeSHD008137 on MeSHD000375.	A protective effect of moderate MeSHD000428 on the MeSHD002319 has consistently been reported, but limited evidence has been produced on the MeSHD001244 of alcohol with metabolic factors in the MeSHD000368. The aim of this study was to investigate the MeSHD001244 between different levels of current MeSHD000428 and MeSHD000082742 in a representative sample of MeSHD000368 Italian MeSHD008571, mainly MeSHD014920 drinkers. This is a cross-sectional multi-centre study on a MeSHD011153-based sample of Italian MeSHD008571 MeSHD000368 65-84 years, drawn from the Italian MeSHD008137 on MeSHD000375 (ILSA) cohort. The analyses included 1896 MeSHD008571. Almost all the drinkers (98%) drank MeSHD014920 as a lifelong MeSHD006184. Adjusted ORs for MeSHD012306 levels for cardiovascular factors (BMI, MeSHD055105, MeSHD005340, α2 MeSHD011506, MeSHD007962, MeSHD008076, MeSHD016632, total MeSHD002784, MeSHD001055-I, MeSHD014280, LDL, MeSHD006442, MeSHD007328, MeSHD005215 MeSHD010949 MeSHD005947, HOMA IR, systolic and diastolic MeSHD001794) were estimated, comparing drinkers with teetotalers using multivariate MeSHD016015 models. We found MeSHD000428 in older age associated with healthier hematological values of MeSHD005340, MeSHD008076, MeSHD016632 MeSHD008074 and MeSHD007328, but it was also associated with a worse hematological picture of total, MeSHD008078 levels, and MeSHD001794. Our results indicated in MeSHD000368 moderate MeSHD014920 drinkers a noticeably safe metabolic, inflammatory and glycemic profile that might balance higher MeSHD001794, leading to a net benefit. These MeSHQ000175 however need to be placed in relation to the known adverse social and MeSHD006262 effects of heavy MeSHD004326.
20368174	Common MeSHQ000002 of ABCG2, a high-capacity MeSHD014527 exporter, cause MeSHD006073: a MeSHQ000502-based genetic MeSHQ000032 in a MeSHD044466 MeSHD011153.	MeSHD006073 based on MeSHD033461 is a common MeSHD004194 with a MeSHD020022, which MeSHQ000209 acute MeSHD001168. The ABCG2/BCRP MeSHD005796, located in a MeSHD006073-susceptibility locus on MeSHD002875 4q, has been identified by recent MeSHD055106 of MeSHD044967 MeSHD014527 concentrations and MeSHD006073. MeSHD014527 transport assays demonstrated that ABCG2 is a high-capacity MeSHD014527 MeSHQ000378 transporter. Sequencing of the ABCG2 MeSHD005796 in 90 MeSHD033461 MeSHD010361 revealed several nonfunctional ABCG2 MeSHD009154, including Q126X. MeSHD040641 MeSHQ000032 of 739 individuals showed that a common dysfunctional variant of ABCG2, Q141K, increases MeSHD044967 MeSHD014527. Q126X is assigned to the different MeSHD004194 MeSHD006239 from Q141K and increases MeSHD006073 MeSHD012306, conferring an MeSHD016017 of 5.97. Furthermore, 10% of MeSHD006073 MeSHD010361 (16 out of 159 cases) had MeSHD005838 combinations resulting in more than 75% reduction of ABCG2 MeSHQ000502 (MeSHD016017, 25.8). Our MeSHQ000175 indicate that nonfunctional variants of ABCG2 essentially block gut and renal MeSHD014527 excretion and cause MeSHD006073.
28439700	MeSHD000069585-alone versus pegylated MeSHD000069585-alone for autologous MeSHD000072916 mobilization in newly diagnosed MeSHD009101 MeSHD010361.	Autologous MeSHD018380 (aHSCT) is the recommended standard upfront MeSHQ000628 for MeSHD019737 eligible myeloma MeSHD010361. Considering possible MeSHQ000150 related to MeSHD004358-MeSHD016207 mobilization, MeSHD016207-alone mobilization is often used. We compared mobilization with MeSHD000069585 alone to MeSHC455861 alone in newly diagnosed myeloma MeSHD010361 after induction MeSHQ000628 with MeSHD000069286 and MeSHD003907. The comparison was made between MeSHD000072916 (PBSC) yields, number of MeSHD001781, MeSHD006412 subsets, and MeSHD013995 to MeSHD009504 and MeSHD001792 engraftment after aHSCT. A total of 42 myeloma MeSHD010361 were prospectively enrolled in the study: 21 received MeSHD000069585, 21 MeSHC455861. MeSHD005434 was used to determine the number of PBSC, myeloid, lymphoid, and MeSHD008533 precursors in peripheral MeSHQ000097 and MeSHD001781 product on day 1 of MeSHD001781. The median number of collected PBSC was 5.05 × 106/kg in the MeSHD000069585 and 4.66 × 106/kg in the MeSHC455861 group (p = 0.428). The median number of MeSHD001781 was 2.5 in the MeSHD000069585 and 2 in the MeSHC455861 group (p = 0.901). The number of MeSHD008533 precursors in peripheral MeSHQ000097 was significantly higher in the MeSHD000069585 group, but not in the MeSHD001781 products. There were no statistically significant differences in the myeloid and lymphoid precursors in the peripheral MeSHQ000097 and in the MeSHD001781 products. The median MeSHD013995 to MeSHD009504 and MeSHD001792 engraftment was 13 days and 16.5 days for MeSHD000069585 and 13 days and 16 days for MeSHC455861 group. We can conclude that MeSHC455861 alone is at least equally successful as MeSHD000069585 alone for the PBSC mobilization in newly diagnosed myeloma MeSHD010361.
21846115	Deciphering the protective MeSHD012380 of MeSHD009569 against MeSHD000077323 at the physiological and proteomic levels in MeSHD003313.	Saline stress is a major factor that limits crop yield. MeSHD009569 (NO) is functional during MeSHD010944 MeSHQ000254, MeSHQ000254, and defense responses. In the present study, the protective MeSHD012380 of NO in alleviating saline stress in MeSHD003313 at the physiological and proteomic levels was examined. Our results showed that MeSHD012492 MeSHQ000628 quickly induced NO accumulation and addition of the NO MeSHD014019 MeSHD026423 (SNAP) efficiently eliminated the inhibitory effect of MeSHD012492 on shoot MeSHQ000254 and MeSHD010788 and inhibited MeSHD012492-inducible H2O2 accumulation. These effects could be reversed by NO metabolic scavengers and MeSHQ000037. Further proteomic and MeSHD015153 MeSHQ000032 revealed that NO induced MeSHD019204-associated MeSHD011506 accumulation and MeSHD000975 MeSHQ000201, in addition to activation of defense MeSHD011506, MeSHD004734, and MeSHQ000166/division in MeSHD012492-treated MeSHD003313 MeSHD036226. Controlling the MeSHD019204 status with MeSHD019204 activators or MeSHQ000037 also affected NO generation and root and stem MeSHQ000254 in MeSHD003313 MeSHD036226 after saline stress. On the basis of these results, we propose that NO enhances MeSHD055049 in MeSHD003313 MeSHD036226 by enhancing MeSHD000975 MeSHQ000201 and controlling H2O2 levels, and these effects are accompanied by diverse downstream defense responses. During this process, MeSHD019204 signaling is an early event that MeSHD014937 upstream of NO biogenesis.
27162091	MeSHD044466 herb MeSHD008511 against MeSHC120542 catalyzed transformations, a key MeSHD012380 in MeSHD016908 progress.	Many MeSHD006094 can anchor their MeSHD008565 to the MeSHD002473 MeSHD010457 covalently by a common mechanism with MeSHC120542 (SrtA), thus escaping from the host's identification of immune MeSHD002477. SrtA can complete this anchoring process by cleaving LPXTG motif conserved among these MeSHD008565 and thus these MeSHD011506 anchor on the MeSHD002473. Moreover, those SrtA mutants lose this capability to anchor these relative MeSHD011506, with these MeSHQ000382 no longer infectious. Therefore, SrtA MeSHQ000037 can be promising MeSHD000890 to cure MeSHD001424. MeSHD044466 herb MeSHD008511 (CHMs) (chosen from MeSHD012586 Citation MeSHD020481) have exhibited inhibition on SrtA of Gram-positive pathogens irreversibly or reversibly. In general, CHMs are likely to have important long-term impact as new MeSHD000900 and sought after by academia and the MeSHD004345. This MeSHD016454 mainly focuses on SrtA MeSHQ000037 from CHMs and the potential inhibiting mechanism related to MeSHQ000737 of compounds in CHMs.
21837702	Endoscopic transoral oropharyngectomy using laparoscopic MeSHD013525.	Recently, several transoral approaches for MeSHD019060 have been developed for MeSHD009959. However, all approaches have certain disadvantages. Therefore, we built and examined new surgical MeSHD004777 for improving the situation. Endoscopic transoral resection using a pharyngeal retractor or distending MeSHD020704, rigid videoendoscope, and laparoscopic MeSHD013525 was performed in 17 MeSHD010361 with MeSHD000077195. Postoperative results regarding oncology and MeSHQ000502 as well as MeSHQ000150 were documented. The 2-year MeSHD012008-free MeSHD015996 was 100%. Postoperative MeSHD003679 and MeSHD013060 MeSHQ000502 were satisfactory: 94.1% of cases scored ≤1 on the functional outcome MeSHD003679 scale (FOSS) and ≤1 on the MeSHD003142 score. Further, no perioperative MeSHD009026 occurred. The improved surgical MeSHD004777 made it possible to perform a safe and reliable en bloc resection with a wide field of view and sufficient working space. Our system can be useful, although further studies on additional cases are required.
