PMID1	PMID2	relevance	Cosine Similarity
28462395	25998828	0	1.0
22116303	19695851	2	1.0
29655810	28523077	2	1.0
28732048	19502317	1	1.0
23553297	24812252	2	1.0
26313191	29214975	1	1.0
28044459	27968998	2	1.0
29124835	19586833	1	1.0
28513457	20538609	1	1.0
22116303	25078870	1	1.0
19502317	27794624	1	1.0
22952422	20117850	0	1.0
29394417	26336390	1	1.0
27411057	27212712	2	1.0
19995872	26313191	0	1.0
19586833	28099457	1	1.0
27499081	22116303	1	1.0
29304222	24601953	2	1.0
25034229	23529438	0	1.0
25824549	22020510	1	0.99
27177280	21793590	0	1.0
29304222	28415969	0	1.0
27655972	27968998	2	1.0
27307635	26313191	1	1.0
25241011	19562473	1	1.0
28462395	24011341	0	1.0
28099457	27242236	1	0.99
26480046	20368174	2	1.0
24812252	19502317	2	1.0
29721798	22794915	0	1.0
20304259	25476443	0	1.0
21864486	19995872	1	1.0
27968998	28468769	1	1.0
21864486	22116303	2	1.0
23610137	26971077	2	1.0
22952422	28468769	2	1.0
28188532	25723325	1	1.0
19565687	22020510	0	1.0
28188532	22829625	2	1.0
26190708	22772414	1	1.0
19240225	27924512	1	1.0
21683563	29124835	0	1.0
19995872	19459700	1	1.0
22952422	25998828	2	1.0
28935236	22291694	0	1.0
19551375	19565687	0	1.0
25476443	27655972	1	1.0
23529438	29797481	2	1.0
22952422	24708058	0	1.0
18251855	22169081	2	1.0
22808189	26198962	2	1.0
26313191	19240225	0	1.0
25824549	22011331	0	0.99
20538609	26380768	2	1.0
23065787	28180272	2	1.0
22116303	27968998	0	1.0
29304222	26190708	2	1.0
25190643	19404829	0	1.0
19072762	29483077	0	0.99
19551375	27212712	1	1.0
20441857	23529438	2	1.0
24708058	26313191	2	1.0
20348099	22513523	0	1.0
28503822	21864486	2	1.0
21837702	18207447	1	1.0
18337557	24024879	1	1.0
24812252	27411057	0	1.0
18235058	24708058	2	0.98
19404829	19502317	1	1.0
22149148	27242236	0	1.0
29238751	27794624	2	1.0
23529438	25064606	2	1.0
26604947	23529438	0	1.0
21194483	27924512	2	1.0
26317507	26336390	2	1.0
27410392	28513457	0	1.0
22595006	27655972	0	1.0
25034229	22215133	0	1.0
25476443	24011341	0	1.0
29304222	25934360	1	1.0
20304259	28099457	1	1.0
19565687	24024879	2	1.0
26604947	22238266	1	1.0
26336390	22794915	0	1.0
28254586	27410392	1	1.0
18235058	26753923	2	0.99
21810462	26604947	1	1.0
26336390	20565164	1	1.0
28044459	24433454	1	1.0
22215133	18482078	0	1.0
27242236	27383611	1	0.99
19459700	23888933	1	1.0
17977838	26554009	0	1.0
28962325	26190708	1	1.0
19074074	25241011	0	1.0
21683563	22691468	2	1.0
22020510	26313191	2	1.0
27924512	23203190	0	1.0
28180272	22194600	2	1.0
22011331	26198962	2	1.0
19565687	22215133	1	1.0
23888933	27242236	1	0.99
20565164	28439700	2	1.0
19565687	25064606	2	1.0
23529438	22595006	2	1.0
22691468	28462395	0	1.0
23888933	22772414	0	1.0
22513523	29721798	1	1.0
20538609	29214975	0	1.0
28099457	27499081	0	1.0
27242236	18505928	0	1.0
23170859	19889212	1	1.0
19586833	20538609	2	1.0
23707234	27794624	1	1.0
19551375	18337557	2	1.0
26667192	18650055	1	1.0
22794915	25998828	0	1.0
19144966	26198962	2	1.0
29655810	28439700	2	1.0
27019795	28462395	1	1.0
19459700	20304259	0	1.0
23065787	28439700	1	1.0
23610137	18383230	1	1.0
23529438	22952422	2	1.0
29797481	19551375	1	1.0
29124835	22808189	2	1.0
22149148	17977838	2	1.0
23707234	26313191	0	1.0
28523077	26480046	2	1.0
22215133	26604947	1	1.0
17977838	25723325	0	1.0
26971077	26604947	2	1.0
27162091	19995872	2	1.0
27655972	28935236	1	1.0
26753923	29483077	1	1.0
19889212	23610137	2	1.0
19240225	28468769	0	1.0
24884467	19502317	1	1.0
17977838	22194600	1	1.0
25998828	21846115	2	1.0
21933785	17997202	1	1.0
26667192	27924512	2	1.0
25934360	22772414	2	1.0
27212712	27019795	2	1.0
22116303	22595006	1	1.0
20368174	22772414	1	1.0
21673361	24975878	2	1.0
27019795	29797481	0	1.0
24024879	28044459	1	1.0
28188532	29483077	1	1.0
