PMID	title	abstract
20441857	an empirical meshq000032 of meshd000072480 vehicle crash meshd014947 severities on meshd007484s public road system	meshd000072480 vehicle crashes are a major meshd012449 concern for meshd000067565 as well as all other users of the public road system in agricultural states using data on meshd000072480 vehicle crashes that occurred on meshd007484s public roads between 2004 and 2006 we estimate a multinomial meshd016015 to identify crash- meshd000072480 vehicle- and driver-specific factors that determine meshd000072480 vehicle crash meshd014947 severity outcomes estimation meshq000175 indicate that there are crash patterns rear-end manner of collision single-vehicle crash meshd000072480 vehicle crossed the centerline or median and conditions obstructed meshd014785 and crash in rural area dry road dark meshd008029 speed limit 55 mph or higher and harvesting meshd012621 as well as meshd000072480 vehicle and driver-contributing characteristics old meshd000072480 vehicle young meshd000072480 vehicle driver where targeted intervention can help reduce the severity of crash outcomes determining these contributing factors and their effect is the first step to identifying countermeasures and meshd012449 strategies in a bid to improve meshd014186 meshd012449 for all users on the public road system in meshd007484 as well as other agricultural states
19240225	meta- and pooled meshq000032 of gstp1 polymorphism and meshd008175 a huge-gsec meshd016454	meshd008175 is the most common meshd009369 worldwide polymorphisms in meshd005796 associated with meshd002273 meshq000378 may modulate meshd012306 of meshd004194 meshd051549 gstp1 detoxifies meshd011084 found in meshd062789 meshd012906 and is the most highly expressed meshd005982 in meshd008168 meshd014024 a polymorphism in the gstp1 meshd005796 an a-to-g transition in meshd005091 5 ile105val 313a -- 313g results in lower activity among individuals who carry the meshd014633 meshd000483 the authors present a meta- and a pooled meshq000032 of meshd016022 that examined the meshd001244 between this polymorphism in gstp1 and meshd008175 meshd012306 27 studies 8322 cases and 8844 meshq000517 and 15 studies 4282 cases and 5032 meshq000517 respectively meshd016424 the meshd017418 found no significant meshd001244 between meshd008175 meshd012306 and the gstp1 meshd005091 5 polymorphism in the pooled meshq000032 there was an meshd016424 meshd001244 meshd016017  111 95 meshd016001 103 121 between meshd008175 and carriage of the gstp1 valval or ileval meshd005838 compared with those meshd017770 the ileile meshd005838 increased meshd012306 varied by histologic type in meshd044466 there appears to be evidence for interaction between amount of meshd012907 the gstp1 meshd005091 5 polymorphism and meshd012306 of meshd008175 in meshd044465
23553297	a novel patellofemoral scoring system for meshd057071 status	we were not aware of a well-validated meshd057071-specific scoring system we performed this study to develop and validate a scoring system samsung medical center smc patellofemoral scoring system suitable for the evaluation of meshd057071 status we recruited 179 individuals consisting of a study group of 123 meshd010361 with anterior meshd007717 meshd010146 but without meshd010146 in another part of the meshd007717 twenty-eight meshd010361 with meshd007717 meshd010146 other than anterior meshd007717 meshd010146 group a and twenty-eight meshd064368 without meshd007717 meshd010146 group b items in the meshq000254 of the scoring system that showed a significant difference between the study group and group a and between the study group and the group b were selected meshd015203 was measured by intraclass correlation coefficient internal consistency was measured by the cronbach alpha content validity was assessed by ceiling and meshd005430 effects and construct validity was determined by the meshd001244 of the feller scores and the smc patellofemoral scores after the item verification process seventeen items eight items for meshd046788 and nine items for patellofemoral meshq000502 were selected meshd015203 for meshd016424 smc patellofemoral scores showed excellent reliability intraclass correlation coefficient 085 and internal consistency was excellent cronbach alpha 097 meshd005430 and ceiling effects were acceptable 30 for all the items of the smc patellofemoral scoring system except one meshd000077708 down on a chair in the patellofemoral meshq000502 score the smc patellofemoral scores showed moderate correlation with the feller scores   -045 the smc patellofemoral score is a novel scoring system that distinguishes meshd010361 with anterior meshd007717 meshd010146 or patellofemoral meshq000503 from meshd010361 with meshd007717 meshd010146 or meshq000503 arising from other meshd007717 problems and from those without meshd007717 meshd010146 the meshd015203 of the smc patellofemoral scoring system were verified in the present study
26380768	meshd016449 of induction meshq000628 and meshq000601 versus combined meshd004358 and meshq000532 in stages iiia-n2 nsclc a meshd000078182 and meshd017418	the efficacy of induction meshq000628 plus meshq000601 for improving postoperative meshd013534 in meshd010361 with meshd002289 nsclc in stages iiia-n2 is controversial especially compared with the combined meshd004358 and meshq000532 we therefore performed a meshd000078182 and meshd017418 of the published phase iii randomized meshd016430 rcts to quantitatively evaluate the meshd013534 benefit of preoperative induction meshq000628 vs combined meshd059248 we systematically searched for trials that started after january 1980 we excluded relevant studies using the preferred reporting items for meshd000078182 and meta-analyses prisma meshd012015 our primary endpoint meshd016424 meshd013534 os was defined as the meshd013995 from randomisation until meshd003643 any cause meshq000556 endpoint was meshd000077982 pfs meshd039781 embase and cochrane meshd007990 were used for the study search all analyses were by meshd033182 to treat three studies 1084 meshd010361 were centrally selected and analyzed for the present meshd017418 combination of the three meshd016449 showed that there was no significant benefit of induction meshq000628 plus meshq000601 compared to combined meshd059248 on 2-year os meshd016017 rr 100 95 ci 085-117 p098 and 4-year os rr 113 95 ci 085-151 p039 however from the subgroup meshq000032 it showed a significant pfs benefit rr 178 95 ci 108-292 p002 regarded meshd059248 as preoperative induction meshq000628 compared with meshd004358 alone for induction meshq000628 pfs rr 105 95 ci 061-181 p086 there was no significant os benefit of induction meshq000628 plus meshq000601 compared with combined meshd059248 in meshd010361 with nsclc stages iiia-pn2 at 2 and 4 years however we could conclude pfs could be improved when meshq000532 was added into preoperative induction meshq000628 given the potential advantages of adding meshd011827 preoperatively clinicians should consider using this meshq000628 strategy in the stage iiia-n2 meshd004194 after fully assessment of the meshd010361
19695851	meshd000428 and meshd000082742 in older lifelong meshd014920 drinkers the italian meshd008137 on meshd000375	a protective effect of moderate meshd000428 on the meshd002319 has consistently been reported but limited evidence has been produced on the meshd001244 of alcohol with metabolic factors in the meshd000368 the aim of this study was to investigate the meshd001244 between different levels of current meshd000428 and meshd000082742 in a representative sample of meshd000368 italian meshd008571 mainly meshd014920 drinkers this is a cross-sectional multi-centre study on a meshd011153-based sample of italian meshd008571 meshd000368 65-84 years drawn from the italian meshd008137 on meshd000375 ilsa cohort the analyses included 1896 meshd008571 almost all the drinkers 98 drank meshd014920 as a lifelong meshd006184 adjusted ors for meshd012306 levels for cardiovascular factors bmi meshd055105 meshd005340 2 meshd011506 meshd007962 meshd008076 meshd016632 total meshd002784 meshd001055-i meshd014280 ldl meshd006442 meshd007328 meshd005215 meshd010949 meshd005947 homa ir systolic and diastolic meshd001794 were estimated comparing drinkers with teetotalers using multivariate meshd016015 models we found meshd000428 in older age associated with healthier hematological values of meshd005340 meshd008076 meshd016632 meshd008074 and meshd007328 but it was also associated with a worse hematological picture of total meshd008078 levels and meshd001794 our results indicated in meshd000368 moderate meshd014920 drinkers a noticeably safe metabolic inflammatory and glycemic profile that might balance higher meshd001794 leading to a net benefit these meshq000175 however need to be placed in relation to the known adverse social and meshd006262 effects of heavy meshd004326
20368174	common meshq000002 of abcg2 a high-capacity meshd014527 exporter cause meshd006073 a meshq000502-based genetic meshq000032 in a meshd044466 meshd011153	meshd006073 based on meshd033461 is a common meshd004194 with a meshd020022 which meshq000209 acute meshd001168 the abcg2bcrp meshd005796 located in a meshd006073-susceptibility locus on meshd002875 4q has been identified by recent meshd055106 of meshd044967 meshd014527 concentrations and meshd006073 meshd014527 transport assays demonstrated that abcg2 is a high-capacity meshd014527 meshq000378 transporter sequencing of the abcg2 meshd005796 in 90 meshd033461 meshd010361 revealed several nonfunctional abcg2 meshd009154 including q126x meshd040641 meshq000032 of 739 individuals showed that a common dysfunctional variant of abcg2 q141k increases meshd044967 meshd014527 q126x is assigned to the different meshd004194 meshd006239 from q141k and increases meshd006073 meshd012306 conferring an meshd016017 of 597 furthermore 10 of meshd006073 meshd010361 16 out of 159 cases had meshd005838 combinations resulting in more than 75 reduction of abcg2 meshq000502 meshd016017 258 our meshq000175 indicate that nonfunctional variants of abcg2 essentially block gut and renal meshd014527 excretion and cause meshd006073
28439700	meshd000069585-alone versus pegylated meshd000069585-alone for autologous meshd000072916 mobilization in newly diagnosed meshd009101 meshd010361	autologous meshd018380 ahsct is the recommended standard upfront meshq000628 for meshd019737 eligible myeloma meshd010361 considering possible meshq000150 related to meshd004358-meshd016207 mobilization meshd016207-alone mobilization is often used we compared mobilization with meshd000069585 alone to meshc455861 alone in newly diagnosed myeloma meshd010361 after induction meshq000628 with meshd000069286 and meshd003907 the comparison was made between meshd000072916 pbsc yields number of meshd001781 meshd006412 subsets and meshd013995 to meshd009504 and meshd001792 engraftment after ahsct a total of 42 myeloma meshd010361 were prospectively enrolled in the study 21 received meshd000069585 21 meshc455861 meshd005434 was used to determine the number of pbsc myeloid lymphoid and meshd008533 precursors in peripheral meshq000097 and meshd001781 product on day 1 of meshd001781 the median number of collected pbsc was 505  106kg in the meshd000069585 and 466  106kg in the meshc455861 group p  0428 the median number of meshd001781 was 25 in the meshd000069585 and 2 in the meshc455861 group p  0901 the number of meshd008533 precursors in peripheral meshq000097 was significantly higher in the meshd000069585 group but not in the meshd001781 products there were no statistically significant differences in the myeloid and lymphoid precursors in the peripheral meshq000097 and in the meshd001781 products the median meshd013995 to meshd009504 and meshd001792 engraftment was 13 days and 165 days for meshd000069585 and 13 days and 16 days for meshc455861 group we can conclude that meshc455861 alone is at least equally successful as meshd000069585 alone for the pbsc mobilization in newly diagnosed myeloma meshd010361
21846115	deciphering the protective meshd012380 of meshd009569 against meshd000077323 at the physiological and proteomic levels in meshd003313	saline stress is a major factor that limits crop yield meshd009569 no is functional during meshd010944 meshq000254 meshq000254 and defense responses in the present study the protective meshd012380 of no in alleviating saline stress in meshd003313 at the physiological and proteomic levels was examined our results showed that meshd012492 meshq000628 quickly induced no accumulation and addition of the no meshd014019 meshd026423 snap efficiently eliminated the inhibitory effect of meshd012492 on shoot meshq000254 and meshd010788 and inhibited meshd012492-inducible h2o2 accumulation these effects could be reversed by no metabolic scavengers and meshq000037 further proteomic and meshd015153 meshq000032 revealed that no induced meshd019204-associated meshd011506 accumulation and meshd000975 meshq000201 in addition to activation of defense meshd011506 meshd004734 and meshq000166division in meshd012492-treated meshd003313 meshd036226 controlling the meshd019204 status with meshd019204 activators or meshq000037 also affected no generation and root and stem meshq000254 in meshd003313 meshd036226 after saline stress on the basis of these results we propose that no enhances meshd055049 in meshd003313 meshd036226 by enhancing meshd000975 meshq000201 and controlling h2o2 levels and these effects are accompanied by diverse downstream defense responses during this process meshd019204 signaling is an early event that meshd014937 upstream of no biogenesis
27162091	meshd044466 herb meshd008511 against meshc120542 catalyzed transformations a key meshd012380 in meshd016908 progress	many meshd006094 can anchor their meshd008565 to the meshd002473 meshd010457 covalently by a common mechanism with meshc120542 srta thus escaping from the hosts identification of immune meshd002477 srta can complete this anchoring process by cleaving lpxtg motif conserved among these meshd008565 and thus these meshd011506 anchor on the meshd002473 moreover those srta mutants lose this capability to anchor these relative meshd011506 with these meshq000382 no longer infectious therefore srta meshq000037 can be promising meshd000890 to cure meshd001424 meshd044466 herb meshd008511 chms chosen from meshd012586 citation meshd020481 have exhibited inhibition on srta of gram-positive pathogens irreversibly or reversibly in general chms are likely to have important long-term impact as new meshd000900 and sought after by academia and the meshd004345 this meshd016454 mainly focuses on srta meshq000037 from chms and the potential inhibiting mechanism related to meshq000737 of compounds in chms
21837702	endoscopic transoral oropharyngectomy using laparoscopic meshd013525	recently several transoral approaches for meshd019060 have been developed for meshd009959 however all approaches have certain disadvantages therefore we built and examined new surgical meshd004777 for improving the situation endoscopic transoral resection using a pharyngeal retractor or distending meshd020704 rigid videoendoscope and laparoscopic meshd013525 was performed in 17 meshd010361 with meshd000077195 postoperative results regarding oncology and meshq000502 as well as meshq000150 were documented the 2-year meshd012008-free meshd015996 was 100 postoperative meshd003679 and meshd013060 meshq000502 were satisfactory 941 of cases scored 1 on the functional outcome meshd003679 scale foss and 1 on the meshd003142 score further no perioperative meshd009026 occurred the improved surgical meshd004777 made it possible to perform a safe and reliable en bloc resection with a wide field of view and sufficient working space our system can be useful although further studies on additional cases are required
