	PMID	title	abstract
0	10821866	MeSHD003643 signal-induced localization of p53 MeSHD011506 to MeSHD008928. A potential MeSHD012380 in apoptotic signaling.	The mechanism of p53-mediated MeSHD017209 after cellular stress remains poorly understood. Evidence suggests that p53 induces MeSHD016923 by a multitude of molecular pathways involving activation of target MeSHD005796 and transcriptionally independent direct signaling. MeSHD008928 MeSHD010988 a key MeSHD012380 in MeSHD017209. We show here that a fraction of p53 MeSHD011506 localizes to MeSHD008928 at the onset of p53-dependent MeSHD017209 but not during p53-independent MeSHD017209 or p53-mediated MeSHD059447. The accumulation of p53 to MeSHD008928 is rapid (within 1 h after p53 activation) and precedes changes in MeSHD053078, MeSHD045304 release, and MeSHD053148 activation. MeSHD016253 and immuno-MeSHD005453-activated MeSHD002477 sorter MeSHQ000032 of isolated MeSHD008928 show that the majority of mitochondrial p53 localizes to the membranous compartment, whereas a fraction is found in a complex with the mitochondrial import motor mt hsp70. After induction of ectopic p53 without additional MeSHD004249 in p53-deficient MeSHD002477, p53 again partially localizes to MeSHD008928, preceding the onset of MeSHD017209. Overexpression of anti-apoptotic Bcl-2 or Bcl-xL abrogates stress signal-mediated mitochondrial p53 accumulation and MeSHD017209 but not MeSHD059447, suggesting a MeSHD005246 signaling loop between p53 and mitochondrial apoptotic regulators. Importantly, bypassing the nucleus by targeting p53 to MeSHD008928 using import leader fusions is sufficient to induce MeSHD017209 in p53-deficient MeSHD002477. We propose a model where p53 can contribute to MeSHD017209 by direct signaling at the MeSHD008928, thereby amplifying the transcription-dependent MeSHD017209 of p53.
1	9003241	MeSHD016899 regulates the immunomodulatory activity of neonatal MeSHD012377 MeSHD017628.	MeSHD016899 (beta-IFN) has both pro and anti-inflammatory properties, the balance of which MeSHD007854 to some suppression of MeSHD004194 activity in MeSHD009103 MeSHD010361. Here, we examine the MeSHD056747 of neonatal MeSHD012377 MeSHD017628, the principal CNS accessory MeSHD002477, by beta-IFN and consider the interaction of beta-IFN and MeSHD007371 (gamma-IFN). beta-IFN and gamma-IFN inhibit microglial proliferation. beta-IFN antagonises both gamma-IFN-induced MeSHD015854 of class II expression and the MeSHD001076 of gamma-IFN primed MeSHD002477 to mount a MeSHD016897. In contrast, beta-IFN upregulates microglial MeSHD011961 expression and augments tumour MeSHD009336 factor alpha MeSHQ000378 from suboptimally stimulated MeSHD017628.
2	10970674	MeSHD013995 delay effect in a living coupled oscillator system with the MeSHD010961 of MeSHD016839.	A living coupled oscillator system was constructed by a MeSHD002477 patterning MeSHD008722 with a MeSHD009235, in which parameters such as coupling strength and distance between the oscillators can be systematically controlled. Rich oscillation phenomena between the two-coupled oscillators, namely, desynchronizing and antiphase/in-phase synchronization were observed according to these parameters. Both experimental and theoretical approaches showed that these phenomena are closely related to the MeSHD013995 delay effect in interactions between the oscillators.
3	11158302	MeSHD000107 of a specific promoter MeSHD009707 accompanies activation of the MeSHD055547 MeSHD005796 by MeSHD055544 MeSHD019901 HS2.	On stably replicating MeSHD010957, MeSHD015533 of the MeSHD055547 promoter by the MeSHD055544 MeSHD019901 HS2 enhancer is correlated with an increase in nuclease MeSHD012680 which is limited to the TATA-proximal MeSHD009707 (N1). To elucidate what underlies this increase in nuclease MeSHD012680 and the link between MeSHD002843 modification and MeSHD015870, we examined the MeSHD009698 composition and MeSHD006657 MeSHD000107 status of transcriptionally active and inactive promoters. MeSHD008836 MeSHD004063 of active promoters in nuclei released few MeSHD009707-like MeSHD009698 complexes containing N1 sequences in comparison to results with inactive promoters. We also observed that N1 MeSHD004247 fragments from active promoters are of a subnucleosomal length. Nevertheless, MeSHD047369 experiments indicate that MeSHD006657 and H4 are present on N1 sequences from active promoters, with H3 being dramatically hyperacetylated compared with that from inactive promoters and vector sequences. Strikingly, H3 in the adjacent upstream MeSHD009707 (N2) does not appear to be differentially acetylated in active and inactive promoters, indicating that the MeSHD009707 modification of the promoter that accompanies MeSHD015533 by HS2 is highly directed and specific. However, global MeSHD000107 of MeSHD006657 in vivo by MeSHC012589 did not activate transcription in the absence of HS2, suggesting that HS2 contributes additional activities necessary for MeSHD015533. N1 sequences from active promoters also contain reduced levels of linker MeSHD006657. The detection of a protected subnucleosomal sized N1 MeSHD004247 fragment and the recovery of N1 MeSHD001483 in MeSHD047468 using anti-acetylated H3 and H4 MeSHD000906 argue that N1 is present, but in an altered conformation, in the active promoters.
4	11013229	MeSHD010911 MeSHD009857 MeSHQ000209 MeSHD000782 and p53-dependent and p53-independent MeSHD017209.	The MeSHD010911 MeSHD009857, PTTG, is abundantly expressed in several MeSHD009369. We recently showed that PTTG overexpression is associated with MeSHD017209 and therefore have now studied the MeSHD012380 of p53 in this process. In MCF-7 MeSHD001943 MeSHD002477 that express wild type p53, PTTG overexpression caused MeSHD017209. p53 was translocated to the nuclei in MeSHD002477 expressing PTTG. Overexpression of p53, along with PTTG, augmented MeSHD017209, whereas expression of the MeSHD027383 E6 MeSHD011506 inhibited PTTG-induced MeSHD017209. In MG-63 MeSHD012516 MeSHD002477 that are deficient in p53, PTTG caused MeSHD059447 and subsequent MeSHD017209 that was inhibited by MeSHD061945. A MeSHD061988 augmented PTTG expression in stable PTTG transfectants, suggesting that down-regulated PTTG expression is required for MeSHD002470. Finally, MG-63 MeSHD002477 expressing PTTG showed MeSHQ000175 of MeSHD000782 including the presence of micronuclei and multiple nuclei. These results indicate that PTTG overexpression MeSHQ000209 p53-dependent and p53-independent MeSHD017209. In the absence of p53, PTTG MeSHQ000209 MeSHD000782. These results may provide a mechanism for PTTG-induced MeSHD063646 whereby PTTG mediates MeSHD000782 and subsequent MeSHD002477 transformation.
5	9595262	Identification of APC MeSHD005091 15 MeSHD009154 in MeSHD005190 suspected of MeSHD011125 (FAP).	MeSHD010361 with MeSHD011125 (FAP) reveal numerous colorectal MeSHD000236 as well as benign and malignant extracolonic lesions. MeSHD011125 (APC) MeSHD005796 MeSHD009154 are the crucial genetic defect in FAP. The APC MeSHD009154 molecular MeSHQ000032 of 20 FAP MeSHD005190 was performed using the novel and effective MeSHD008722 of the MeSHD020180 (HDA). All of these MeSHD005190 were screened for MeSHD009154 in APC MeSHD005091 15. APC MeSHD009154 were identified in 4 individuals of two MeSHD005190. These two MeSHD005190 were also screened by the MeSHD011506 truncation test (PTT). The PTT results confirmed previous MeSHQ000175 obtained by HDA. The results of molecular MeSHQ000032 were correlated with the clinical manifestations of extracolonic lesions and MeSHQ000151 MeSHD006984 of MeSHD055213 (CHRPE). Positive correlation of all clinical examinations and MeSHD009154 of MeSHD017491 was observed in all 4 FAP MeSHD010361.
6	7753843	MeSHD016898 and beta down-regulate the expression of MeSHD016222 in MeSHD006801 MeSHD002277.	We investigated the influence of MeSHD016898, beta, and gamma (IFN-alpha, -beta, and -gamma) on the MeSHD004467 of MeSHD016222 (bFGF) by MeSHD006801 MeSHD002292 MeSHD002477. The MeSHD006801 MeSHD002292 MeSHD002477 MeSHQ000556 line SN12PM6 was established in MeSHQ000208 from a MeSHD008168 MeSHD009362 and SN12PM6-resistant MeSHD002477 were selected MeSHD066298 for resistance to the antiproliferative effects of IFN-alpha or IFN-beta. IFN-alpha and IFN-beta, but not IFN-gamma, down-regulated the expression of bFGF at the MeSHD012333 and MeSHD011506 levels by a mechanism independent of their antiproliferative effects. MeSHD015536 of bFGF required a long exposure (> 4 days) of MeSHD002477 to low concentrations (> 10 units/ml) of IFN-alpha or IFN-beta. The withdrawal of IFN-alpha or IFN-beta from the medium permitted SN12PM6-resistant MeSHD002477 to resume MeSHD004467 of bFGF. The incubation of MeSHD006801 MeSHD001743, MeSHD011467, MeSHD003106, and MeSHD001943 MeSHD002477 with noncytostatic concentrations of IFN-alpha or IFN-beta also produced MeSHD015536 of bFGF MeSHD004467.
7	11342419	Highly heterogeneous MeSHD019368 of MeSHD000623 (ALAD) MeSHQ000172 in ALAD MeSHD011164.	The properties of 9 MeSHD000623 (ALAD) mutants from MeSHD010361 with ALAD MeSHD011164 (MeSHD000244) were examined by bacterial expression of their MeSHD018076 and by enzymologic and immunologic assays. ALADs were expressed as MeSHD005982 (GST) fusion MeSHD011506 in MeSHD004926 and purified by MeSHD005978-affinity column MeSHD002845. The GST-ALAD fusion MeSHD011506 were recognized by anti-ALAD MeSHD000906 and were enzymatically active as ALAD. The enzymatic activities of 3 ALAD mutants, K59N, A274T, and V153M, were 69.9%, 19.3%, and 41.0% of that of the wild-type ALAD, respectively, whereas 6 mutants, G133R, K59N/G133R, F12L, R240W, V275M, and delTC, showed little activity (< 8%). These variations generally reflect the MeSHD010641 of ALAD in vivo in MeSHD010361 with MeSHD000244 and indicate that GST-ALAD fusion MeSHD011506 is indeed useful for predicting of the MeSHD010641 of ALAD mutants. The location of F12L MeSHD009154 in the MeSHD004798's MeSHD015394 indicates that its disturbance of the quaternary contact of the ALAD dimer appears to have a significant influence on the enzymatic activity. MeSHD051379 MeSHD000911 to MeSHD006801 ALAD were developed that specifically recognized a carboxy terminal portion of ALAD, or other regions in the MeSHD004798. This study represents the first complete MeSHQ000032 of 9 mutants of ALAD identified in MeSHD000244 and indicates the highly heterogeneous MeSHD019368 of MeSHD009154 in this disorder.
8	11378394	A localized MeSHD020558 exchange factor, Bud5, determines the MeSHD009949 of division axes in MeSHD015003.	MeSHD020558 are widespread in directing cytoskeletal rearrangements and affecting cellular MeSHD009938. How they do so is not well understood. MeSHD015003 MeSHD002477 divide by budding, which occurs in two spatially programmed patterns, axial or bipolar [1-3]. Cytoskeletal polarization to MeSHD020478 a bud is governed by the Ras-like MeSHD020558, Bud1/Rsr1, in response to cortical landmarks. Bud1 is uniformly distributed on the MeSHD002462, so presumably its regulators, Bud5 MeSHD020558 exchange factor and Bud2 MeSHD020690, impart spatial MeSHD012680 to Bud1 action [4]. We examined the localizations of Bud5 and Bud2. Both Bud1 regulators associate with cortical landmarks designating former division sites. In MeSHD006238, Bud5 MeSHD020478 double rings that encircle the MeSHD009035-bud MeSHD009333 and split upon MeSHD048749 so that each progeny MeSHD002477 inherits Bud5 at the axial division remnant. Recruitment of Bud5 into these structures depends on known axial landmark components. In MeSHD002477 undergoing bipolar budding, Bud5 associates with multiple sites, in response to the bipolar landmarks. Like Bud5, Bud2 associates with the axial division remnant, but rather than being inherited, Bud2 transiently associates with the remnant in late G1, before condensing into a patch at the incipient bud site. The relative timing of Bud5 and Bud2 localizations suggests that both regulators contribute to the spatially specific MeSHQ000517 of Bud1 MeSHD020558.
9	8128315	MeSHD019976 of a MeSHD018076 encoding a putative MeSHD006801 MeSHD008079/MeSHD026503 and assignment of the MeSHD005796 to MeSHD002875 9pter-p23.	We MeSHD058028 the MeSHD019976 of a 3656-bp MeSHD018076 encoding a putative MeSHD006801 MeSHD008079 (VLDL)/MeSHD001053 E (MeSHD001057) receptor. The MeSHD005796 encoding this MeSHD011506 was mapped to MeSHD002875 9pter-p23. Northern MeSHQ000032 of MeSHD006801 MeSHD012313 identified cognate MeSHD012333 of 6.0 and 3.8 kb with most abundant expression in MeSHD006321 and MeSHD018482, followed by MeSHD007668, MeSHD010920, MeSHD010179, and MeSHD001921. The pattern of expression generally paralleled that of MeSHD008071 MeSHD012333 but differed from that of the MeSHD008077 (LDL) receptor and the MeSHD011973-related MeSHD011506/MeSHD026503 (LRP), which are members of the same MeSHD005796 MeSHD005190. VLDL/MeSHD026503 message was not detected in MeSHD008099, whereas MeSHD012333 for both MeSHD011973 and LRP were found in hepatic MeSHD014024. In MeSHD051379 MeSHD041721, VLDL/MeSHD026503 MeSHD012333 was induced during the transformation of the MeSHD002477 into MeSHD017667. Expression was also detected in MeSHD006801 MeSHD002822 MeSHD002477, suggesting that at least part of the expression observed in MeSHD010920 may be in MeSHD014327, MeSHD002477 which would be exposed to maternal MeSHQ000097. Expression in MeSHD001921 may be related to high levels of MeSHD001057 expression in that organ, an MeSHD019370 of potential relevance to the recently hypothesized MeSHD012380 for MeSHD001057 in MeSHD000544. Our results suggest that the putative VLDL/MeSHD026503 could MeSHD010988 a MeSHD012380 in the uptake of MeSHD014280-rich MeSHD008074 particles by specific organs including striated and MeSHD009206 and MeSHD000273 and in the transport of maternal MeSHD008055 across the MeSHD010920. The MeSHQ000175 presented here, together with recent MeSHD019370 from other MeSHD007753, bring up the possibility that a single MeSHD005796, the VLDL/MeSHD026503, may MeSHD010988 a MeSHD012380 in the MeSHQ000209 of certain MeSHD020478 of MeSHD050197, MeSHD000544, and MeSHD009765.
