Unnamed: 0	PMID	title	abstract
0	10821866	meshd003643 signal-induced localization of p53 meshd011506 to meshd008928 a potential meshd012380 in apoptotic signaling	the mechanism of p53-mediated meshd017209 after cellular stress remains poorly understood evidence suggests that p53 induces meshd016923 by a multitude of molecular pathways involving activation of target meshd005796 and transcriptionally independent direct signaling meshd008928 meshd010988 a key meshd012380 in meshd017209 we show here that a fraction of p53 meshd011506 localizes to meshd008928 at the onset of p53-dependent meshd017209 but not during p53-independent meshd017209 or p53-mediated meshd059447 the accumulation of p53 to meshd008928 is rapid within 1 h after p53 activation and precedes changes in meshd053078 meshd045304 release and meshd053148 activation meshd016253 and immuno-meshd005453-activated meshd002477 sorter meshq000032 of isolated meshd008928 show that the majority of mitochondrial p53 localizes to the membranous compartment whereas a fraction is found in a complex with the mitochondrial import motor mt hsp70 after induction of ectopic p53 without additional meshd004249 in p53-deficient meshd002477 p53 again partially localizes to meshd008928 preceding the onset of meshd017209 overexpression of anti-apoptotic bcl-2 or bcl-xl abrogates stress signal-mediated mitochondrial p53 accumulation and meshd017209 but not meshd059447 suggesting a meshd005246 signaling loop between p53 and mitochondrial apoptotic regulators importantly bypassing the nucleus by targeting p53 to meshd008928 using import leader fusions is sufficient to induce meshd017209 in p53-deficient meshd002477 we propose a model where p53 can contribute to meshd017209 by direct signaling at the meshd008928 thereby amplifying the transcription-dependent meshd017209 of p53
1	9003241	meshd016899 regulates the immunomodulatory activity of neonatal meshd012377 meshd017628	meshd016899 beta-ifn has both pro and anti-inflammatory properties the balance of which meshd007854 to some suppression of meshd004194 activity in meshd009103 meshd010361 here we examine the meshd056747 of neonatal meshd012377 meshd017628 the principal cns accessory meshd002477 by beta-ifn and consider the interaction of beta-ifn and meshd007371 gamma-ifn beta-ifn and gamma-ifn inhibit microglial proliferation beta-ifn antagonises both gamma-ifn-induced meshd015854 of class ii expression and the meshd001076 of gamma-ifn primed meshd002477 to mount a meshd016897 in contrast beta-ifn upregulates microglial meshd011961 expression and augments tumour meshd009336 factor alpha meshq000378 from suboptimally stimulated meshd017628
2	10970674	meshd013995 delay effect in a living coupled oscillator system with the meshd010961 of meshd016839	a living coupled oscillator system was constructed by a meshd002477 patterning meshd008722 with a meshd009235 in which parameters such as coupling strength and distance between the oscillators can be systematically controlled rich oscillation phenomena between the two-coupled oscillators namely desynchronizing and antiphasein-phase synchronization were observed according to these parameters both experimental and theoretical approaches showed that these phenomena are closely related to the meshd013995 delay effect in interactions between the oscillators
3	11158302	meshd000107 of a specific promoter meshd009707 accompanies activation of the meshd055547 meshd005796 by meshd055544 meshd019901 hs2	on stably replicating meshd010957 meshd015533 of the meshd055547 promoter by the meshd055544 meshd019901 hs2 enhancer is correlated with an increase in nuclease meshd012680 which is limited to the tata-proximal meshd009707 n1 to elucidate what underlies this increase in nuclease meshd012680 and the link between meshd002843 modification and meshd015870 we examined the meshd009698 composition and meshd006657 meshd000107 status of transcriptionally active and inactive promoters meshd008836 meshd004063 of active promoters in nuclei released few meshd009707-like meshd009698 complexes containing n1 sequences in comparison to results with inactive promoters we also observed that n1 meshd004247 fragments from active promoters are of a subnucleosomal length nevertheless meshd047369 experiments indicate that meshd006657 and h4 are present on n1 sequences from active promoters with h3 being dramatically hyperacetylated compared with that from inactive promoters and vector sequences strikingly h3 in the adjacent upstream meshd009707 n2 does not appear to be differentially acetylated in active and inactive promoters indicating that the meshd009707 modification of the promoter that accompanies meshd015533 by hs2 is highly directed and specific however global meshd000107 of meshd006657 in vivo by meshc012589 did not activate transcription in the absence of hs2 suggesting that hs2 contributes additional activities necessary for meshd015533 n1 sequences from active promoters also contain reduced levels of linker meshd006657 the detection of a protected subnucleosomal sized n1 meshd004247 fragment and the recovery of n1 meshd001483 in meshd047468 using anti-acetylated h3 and h4 meshd000906 argue that n1 is present but in an altered conformation in the active promoters
4	11013229	meshd010911 meshd009857 meshq000209 meshd000782 and p53-dependent and p53-independent meshd017209	the meshd010911 meshd009857 pttg is abundantly expressed in several meshd009369 we recently showed that pttg overexpression is associated with meshd017209 and therefore have now studied the meshd012380 of p53 in this process in mcf-7 meshd001943 meshd002477 that express wild type p53 pttg overexpression caused meshd017209 p53 was translocated to the nuclei in meshd002477 expressing pttg overexpression of p53 along with pttg augmented meshd017209 whereas expression of the meshd027383 e6 meshd011506 inhibited pttg-induced meshd017209 in mg-63 meshd012516 meshd002477 that are deficient in p53 pttg caused meshd059447 and subsequent meshd017209 that was inhibited by meshd061945 a meshd061988 augmented pttg expression in stable pttg transfectants suggesting that down-regulated pttg expression is required for meshd002470 finally mg-63 meshd002477 expressing pttg showed meshq000175 of meshd000782 including the presence of micronuclei and multiple nuclei these results indicate that pttg overexpression meshq000209 p53-dependent and p53-independent meshd017209 in the absence of p53 pttg meshq000209 meshd000782 these results may provide a mechanism for pttg-induced meshd063646 whereby pttg mediates meshd000782 and subsequent meshd002477 transformation
5	9595262	identification of apc meshd005091 15 meshd009154 in meshd005190 suspected of meshd011125 fap	meshd010361 with meshd011125 fap reveal numerous colorectal meshd000236 as well as benign and malignant extracolonic lesions meshd011125 apc meshd005796 meshd009154 are the crucial genetic defect in fap the apc meshd009154 molecular meshq000032 of 20 fap meshd005190 was performed using the novel and effective meshd008722 of the meshd020180 hda all of these meshd005190 were screened for meshd009154 in apc meshd005091 15 apc meshd009154 were identified in 4 individuals of two meshd005190 these two meshd005190 were also screened by the meshd011506 truncation test ptt the ptt results confirmed previous meshq000175 obtained by hda the results of molecular meshq000032 were correlated with the clinical manifestations of extracolonic lesions and meshq000151 meshd006984 of meshd055213 chrpe positive correlation of all clinical examinations and meshd009154 of meshd017491 was observed in all 4 fap meshd010361
6	7753843	meshd016898 and beta down-regulate the expression of meshd016222 in meshd006801 meshd002277	we investigated the influence of meshd016898 beta and gamma ifn-alpha -beta and -gamma on the meshd004467 of meshd016222 bfgf by meshd006801 meshd002292 meshd002477 the meshd006801 meshd002292 meshd002477 meshq000556 line sn12pm6 was established in meshq000208 from a meshd008168 meshd009362 and sn12pm6-resistant meshd002477 were selected meshd066298 for resistance to the antiproliferative effects of ifn-alpha or ifn-beta ifn-alpha and ifn-beta but not ifn-gamma down-regulated the expression of bfgf at the meshd012333 and meshd011506 levels by a mechanism independent of their antiproliferative effects meshd015536 of bfgf required a long exposure  4 days of meshd002477 to low concentrations  10 unitsml of ifn-alpha or ifn-beta the withdrawal of ifn-alpha or ifn-beta from the medium permitted sn12pm6-resistant meshd002477 to resume meshd004467 of bfgf the incubation of meshd006801 meshd001743 meshd011467 meshd003106 and meshd001943 meshd002477 with noncytostatic concentrations of ifn-alpha or ifn-beta also produced meshd015536 of bfgf meshd004467
7	11342419	highly heterogeneous meshd019368 of meshd000623 alad meshq000172 in alad meshd011164	the properties of 9 meshd000623 alad mutants from meshd010361 with alad meshd011164 meshd000244 were examined by bacterial expression of their meshd018076 and by enzymologic and immunologic assays alads were expressed as meshd005982 gst fusion meshd011506 in meshd004926 and purified by meshd005978-affinity column meshd002845 the gst-alad fusion meshd011506 were recognized by anti-alad meshd000906 and were enzymatically active as alad the enzymatic activities of 3 alad mutants k59n a274t and v153m were 699 193 and 410 of that of the wild-type alad respectively whereas 6 mutants g133r k59ng133r f12l r240w v275m and deltc showed little activity  8 these variations generally reflect the meshd010641 of alad in vivo in meshd010361 with meshd000244 and indicate that gst-alad fusion meshd011506 is indeed useful for predicting of the meshd010641 of alad mutants the location of f12l meshd009154 in the meshd004798s meshd015394 indicates that its disturbance of the quaternary contact of the alad dimer appears to have a significant influence on the enzymatic activity meshd051379 meshd000911 to meshd006801 alad were developed that specifically recognized a carboxy terminal portion of alad or other regions in the meshd004798 this study represents the first complete meshq000032 of 9 mutants of alad identified in meshd000244 and indicates the highly heterogeneous meshd019368 of meshd009154 in this disorder
8	11378394	a localized meshd020558 exchange factor bud5 determines the meshd009949 of division axes in meshd015003	meshd020558 are widespread in directing cytoskeletal rearrangements and affecting cellular meshd009938 how they do so is not well understood meshd015003 meshd002477 divide by budding which occurs in two spatially programmed patterns axial or bipolar 1-3 cytoskeletal polarization to meshd020478 a bud is governed by the ras-like meshd020558 bud1rsr1 in response to cortical landmarks bud1 is uniformly distributed on the meshd002462 so presumably its regulators bud5 meshd020558 exchange factor and bud2 meshd020690 impart spatial meshd012680 to bud1 action 4 we examined the localizations of bud5 and bud2 both bud1 regulators associate with cortical landmarks designating former division sites in meshd006238 bud5 meshd020478 double rings that encircle the meshd009035-bud meshd009333 and split upon meshd048749 so that each progeny meshd002477 inherits bud5 at the axial division remnant recruitment of bud5 into these structures depends on known axial landmark components in meshd002477 undergoing bipolar budding bud5 associates with multiple sites in response to the bipolar landmarks like bud5 bud2 associates with the axial division remnant but rather than being inherited bud2 transiently associates with the remnant in late g1 before condensing into a patch at the incipient bud site the relative timing of bud5 and bud2 localizations suggests that both regulators contribute to the spatially specific meshq000517 of bud1 meshd020558
9	8128315	meshd019976 of a meshd018076 encoding a putative meshd006801 meshd008079meshd026503 and assignment of the meshd005796 to meshd002875 9pter-p23	we meshd058028 the meshd019976 of a 3656-bp meshd018076 encoding a putative meshd006801 meshd008079 vldlmeshd001053 e meshd001057 receptor the meshd005796 encoding this meshd011506 was mapped to meshd002875 9pter-p23 northern meshq000032 of meshd006801 meshd012313 identified cognate meshd012333 of 60 and 38 kb with most abundant expression in meshd006321 and meshd018482 followed by meshd007668 meshd010920 meshd010179 and meshd001921 the pattern of expression generally paralleled that of meshd008071 meshd012333 but differed from that of the meshd008077 ldl receptor and the meshd011973-related meshd011506meshd026503 lrp which are members of the same meshd005796 meshd005190 vldlmeshd026503 message was not detected in meshd008099 whereas meshd012333 for both meshd011973 and lrp were found in hepatic meshd014024 in meshd051379 meshd041721 vldlmeshd026503 meshd012333 was induced during the transformation of the meshd002477 into meshd017667 expression was also detected in meshd006801 meshd002822 meshd002477 suggesting that at least part of the expression observed in meshd010920 may be in meshd014327 meshd002477 which would be exposed to maternal meshq000097 expression in meshd001921 may be related to high levels of meshd001057 expression in that organ an meshd019370 of potential relevance to the recently hypothesized meshd012380 for meshd001057 in meshd000544 our results suggest that the putative vldlmeshd026503 could meshd010988 a meshd012380 in the uptake of meshd014280-rich meshd008074 particles by specific organs including striated and meshd009206 and meshd000273 and in the transport of maternal meshd008055 across the meshd010920 the meshq000175 presented here together with recent meshd019370 from other meshd007753 bring up the possibility that a single meshd005796 the vldlmeshd026503 may meshd010988 a meshd012380 in the meshq000209 of certain meshd020478 of meshd050197 meshd000544 and meshd009765
