PMID	title	abstract
18394048	Effect of MeSHD000077287 on MeSHD000071080: a MeSHD050781 study.	BACKGROUND AND PURPOSE: We studied the effect of MeSHD000077287 (LEV), an MeSHD000927 with a novel MeSHQ000494, on MeSHD000071080, measured using MeSHD050781 (TMS). For this purpose, 38 MeSHD064368 were assessed in two TMS sessions, before and after an oral dose of 3000 mg LEV. METHODS: Resting motor threshold (RMT), intracortical facilitation (ICF) and intracortical inhibition (ICI), cortical silent period (CSP) threshold and duration and MeSHD019054 (MEP) amplitude were calculated. RESULTS: MeSHD000359 with LEV, RMT was increased (mean +/- SD: 63 +/- 14% of the maximum stimulator output) compared with baseline (58 +/- 11%). CSP threshold was decreased after LEV (54 +/- 10%; baseline, 57 +/- 11%). CSP duration was increased after LEV (116 +/- 37 ms; baseline: 102 +/- 33 ms). LEV did not MeSHD000339 ICF or ICI or mean MEP amplitude significantly. CONCLUSIONS: Our results indicate that LEV modulates some aspects of MeSHD000071080. Whereas the increase in the RMT most probably reflects the effect of LEV on MeSHD007473 activity, effects on the CSP might represent a modulation of MeSHD018079 at cortical and spinal level.
18363035	A MeSHD016678-wide MeSHD046228 reveals anti-inflammatory target MeSHD005796 of MeSHC013638 in MeSHD008264.	OBJECTIVE: Paeony root has long been used for its anti-inflammatory effects. In this study, the effects of MeSHC014959, MeSHC015423, and MeSHC013638, compounds from paeony root, on MeSHD059467 were examined in MeSHD008264 challenged with the MeSHD007249 inducer MeSHD008070 (LPS). METHODS: The RAW264.7 MeSHD008264 were treated with LPS in the presence or absence of MeSHC014959, MeSHC015423, or MeSHC013638. Global MeSHD012333 expression levels were detected by using an MeSHD020411 platform covering the MeSHD051379 whole MeSHD016678. RESULTS: MeSHQ000628 with LPS caused expression level changes in 1,270 MeSHD005796 by 2 folds or more. MeSHC013638 attenuated the induction level of 355 LPS-responsive MeSHD005796. MeSHD002965 of the MeSHD005796 targeted by MeSHC013638 according to the Panther group MeSHQ000032 revealed 20 MeSHD001686, 24 molecular MeSHQ000502, and 22 signaling pathways. The Panther signaling pathways highly affected by MeSHC013638 included the 'MeSHD007249 mediated by MeSHD018925 and MeSHD016207 signaling', 'MeSHD007378 signaling', and 'Toll receptor signaling'. CONCLUSION: Our results demonstrate that MeSHC013638 has extensive inhibitory effects on the MeSHD012926 of MeSHD007249 associated MeSHD015870 by LPS in MeSHD008264. In addition, the predominant effect of MeSHC013638 among the tested compounds suggests that MeSHC013638 may be a major ingredient for the anti-inflammatory effect of paeony root.
18366698	The MeSHQ000706 of biomedicine, complementary and MeSHD000529, and MeSHD008519 for the MeSHQ000628 of MeSHD004827 among people of South MeSHD044466 origin in the UK.	BACKGROUND: Studies have shown that a significant proportion of people with MeSHD004827 MeSHQ000706 complementary and MeSHD000529 (CAM). CAM MeSHQ000706 is known to vary between different MeSHD005006 and cultural contexts; however, little MeSHD001288 has been devoted to inter-ethnic differences within the UK MeSHD011153. We studied the MeSHQ000706 of biomedicine, complementary and MeSHD000529, and MeSHD008519 in a sample of people with MeSHD004827 of South MeSHD044466 origin living in the north of MeSHD004739. METHODS: MeSHD017203 were conducted with 30 people of South MeSHD044466 origin and 16 MeSHD017028 drawn from a sampling frame of MeSHD010361 over 18 years old with MeSHD004827, compiled from MeSHD004827 MeSHD016435 and MeSHD006761 MeSHD019991. All MeSHD017203 were tape-recorded, translated if required and transcribed. A framework approach was adopted to analyse the data. RESULTS: All those interviewed were taking conventional anti-epileptic MeSHD004364. Most had also sought help from traditional South MeSHD044466 practitioners, but only two people had tried conventional CAM. Decisions to consult a traditional healer were taken by MeSHD005190 rather than by individuals with MeSHD004827. Those who made the decision to consult a traditional healer were usually older MeSHD005190 and their MeSHD009042 and MeSHD010465 of MeSHD012449 and efficacy often differed from those of the recipients of the MeSHQ000628. No-one had discussed the MeSHQ000706 of traditional MeSHQ000628 with their doctor. The patterns observed in the UK mirrored those reported among people with MeSHD004827 in MeSHD007194 and MeSHD010154. CONCLUSION: The MeSHD003695-seeking behaviour of study participants, although mainly confined within the MeSHD008519 sector, shared much in common with that of people who MeSHQ000706 global CAM. The appeal of traditional MeSHQ000628 lay in their religious and moral MeSHD007086 within the South MeSHD044466 MeSHD012111, especially to the older generation who were disproportionately influential in the MeSHQ000032 of MeSHQ000628 choices. As a second generation made up of people of Pakistani origin born in the UK reach the age when they are the influential decision makers in their MeSHD005190, resort to traditional MeSHQ000628 may decline. People had long experience of navigating plural systems of MeSHD003695 and avoided potential conflict by maintaining strict MeSHD004243 between different sectors. MeSHD003695 practitioners need to approach these issues with MeSHD012680 and to regard traditional healers as potential allies, rather than competitors or quacks.
10627593	Presynaptic Ca(2+) influx at a MeSHD051379 central MeSHD013569 with Ca(2+) channel subunit MeSHD009154.	Genetic alterations in Ca(2+) channel subunits can be used to study the interaction among channel subunits and their MeSHD012380 in channel MeSHQ000502. P/Q- and N-type Ca(2+) channels reside at the MeSHD017729 and MeSHQ000517 the release of MeSHD018377 at mammalian central MeSHD013569. We used MeSHD061848 MeSHQ000379 to investigate presynaptic Ca(2+) currents and MeSHD018377 release at hippocampal MeSHD006624 MeSHD013569 in both tottering (tg, alpha(1A) subunit) and lethargic (lh, beta(4) subunit) mutant MeSHD051379. Application of selective toxins revealed a large reduction in presynaptic P/Q-type Ca(2+) MeSHD014171, from 39% of total in +/+ MeSHD051379 to 6% in tg/tg MeSHD051379, whereas the proportion of N-type increased from 35 to 68%, respectively. MeSHD018377 release in the tg/tg mutant relied almost exclusively on N-type channels, as shown by the complete blockade of MeSHD009435 with MeSHD020866. Remarkably, loss of beta4, a subunit predicted to regulate the subcellular targeting and modulation of both P/Q- and N-type channels, resulted in no significant difference in the ratio of Ca(2+) channel subtypes or Ca(2+) dependence of MeSHD018377 release in lethargic MeSHD051379. MeSHD019204-mediated inhibition of Ca(2+) channels was also unaltered. These results indicate that a profound decrease in presynaptic P/Q-type currents MeSHD007854 to dependence of MeSHD018377 release on N-type channels. In contrast, absence of beta(4) appears not to compromise either P/Q- or N-type channel MeSHQ000502 at this hippocampal MeSHD013569, implicating rescue of presynaptic Ca(2+) currents by other available beta subunits. The present study reveals compensatory molecular mechanisms in the MeSHD012926 of presynaptic Ca(2+) entry and MeSHD018377 release.
10642555	Rad6-dependent MeSHD054875 of MeSHD006657 H2B in MeSHD015003.	Although ubiquitinated MeSHD006657 are present in substantial levels in MeSHD014714 MeSHD002477, the MeSHD012380 they MeSHD010988 in specific MeSHD001686 and the cellular factors that regulate this modification are not well characterized. Ubiquitinated H2B (uH2B) has been identified in the MeSHD015003 MeSHD012441, and MeSHD009154 of the conserved MeSHD054875 site is shown to MeSHC020416 MeSHQ000002 in mitotic MeSHD002477 MeSHQ000254 and MeSHD008540. uH2B was not detected in rad6 mutants, which are defective for the MeSHD044763 Ubc2, thus identifying Rad6 as the major cellular activity that ubiquitinates H2B in MeSHD015003.
10609551	Individual variation in the expression profiles of MeSHD011978 in the MeSHD009830 and MeSHD012668 and identification of alpha2, alpha6, alpha9, and beta3 transcripts.	MeSHD009538 evokes dose-dependent and often variable chemosensory responses in MeSHD000818 and MeSHD006801. Earlier MeSHD019370 that MeSHD009538 binds to some MeSHD011978 (nAChR) subtypes in the MeSHD009830 (OB) and MeSHD012668 (TG) led us to investigate the complete nAChR expression profile in each MeSHD014024 and to determine whether inter-MeSHD007206 exist in MeSHD008297 and MeSHD005260 MeSHD051381. Total MeSHD012313 was extracted from individual samples of dissected OB and TG and analyzed by a sensitive MeSHD048348-MeSHD016133 (RT-MeSHD016133) MeSHQ000032 to determine the MeSHD012333 profiles of ten transcripts encoded by the alpha2, alpha3, alpha4, alpha5, alpha6, alpha7, alpha9, beta2, beta3, and beta4 nAChR MeSHD005796. We found that (a) in the OB, all MeSHD000818 expressed alpha2, alpha3, alpha4, alpha5, alpha7, beta2, and beta4 subunit MeSHD012333, whereas alpha6, beta3, and alpha9 transcripts were expressed in only 17, 28, and 33% of the MeSHD000818, respectively, and (b) in the TG, all MeSHD000818 expressed alpha2, alpha3, alpha6, alpha7, beta2, and beta4 subunit MeSHD012333, whereas alpha9, beta3, alpha4, and alpha5 transcripts were expressed in 4, 38, 88, and 92% of the MeSHD000818, respectively. These results also identified new subunits that are expressed in each MeSHD014024 (alpha2, alpha6, alpha9, and beta3) and demonstrated that individual MeSHD051381 may have different MeSHD014024-specific expression profiles for alpha4, alpha5, alpha6, alpha9, and beta3 transcripts. Such variations are likely to be reflected in the composition of functional receptor subtypes in the MeSHD051381 OB and TG that have different activation and desensitization characteristics to MeSHD000109 and MeSHD009538.
18401010	MeSHD006224 MeSHD013075: MeSHD012380 of MeSHD019289 MeSHD010088 A and MeSHD008058.	Recently, we demonstrated that MeSHD019289 MeSHD010088 A2 (PDHA2) is MeSHD014443 phosphorylated in capacitated MeSHD006224 MeSHD013094. In this MeSHD058028, using MeSHC017092 (BP), an inhibitor of PDHA, we demonstrated that MeSHD006224 MeSHD013094 hyperactivation was blocked regardless of whether PDHA was inhibited prior to or after the onset of hyperactivation, but the MeSHD020101 was blocked only if PDHA was inhibited prior to the onset of the MeSHD020101. Further, inhibition of PDHA activity did not inhibit capacitation-associated MeSHD011506 MeSHD014443 MeSHD010766 observed in MeSHD006224 MeSHD013094. It is demonstrated that the essentiality of PDHA for MeSHD013075 is probably dependent on its MeSHD001076 to generate effectors of capacitation such as MeSHD017382 (ROS) and cAMP, which are significantly decreased in the presence of BP. MICA (MeSHC008400, a specific inhibitor of MeSHD008058 [DLD]), another component of the MeSHD011768 (PDHc), also significantly inhibited ROS generation and cAMP levels thus implying that these MeSHD004798 of the PDHc are required for ROS and cAMP generation. Furthermore, dibutryl cyclic MeSHD000249 could significantly reverse the inhibition of hyperactivation observed in the presence of BP and inhibition of MeSHD020101 observed in the presence of BP or MICA. The MeSHD061207, MeSHD000001, could also significantly reverse the inhibitory effect of BP and MICA on MeSHD013094 MeSHD020101. These results establish that PDHA is required for MeSHD006224 MeSHD013094 hyperactivation and MeSHD020101, and DLD is required for MeSHD006224 MeSHD020101. This study also provides evidence that ROS, cAMP, and MeSHD002118 are involved downstream to PDHA.
18370348	[MeSHD009369 search with MeSHD004058-weighted imaging--first experience].	PURPOSE: Assessment of fat-suppressing MeSHD004058 imaging as a tool for MeSHD009369 search in primary oncological staging and follow-up MeSHD000359. MATERIALS AND METHODS: The DWIBS sequence (DWIBS: MeSHD004058-Weighted MeSHD051598 with Background Body Signal Suppression) developed by MeSHD031060 Takahara et al. was implemented in oncological MRI protocols. After measurement of 8 MeSHD014838 with a whole-body protocol, 47 MeSHD051598 were performed on 38 oncological MeSHD010361. 70 exams were performed on 62 MeSHD009369 MeSHD010361 with organ-specific protocols using parallel imaging. A total of 64 MeSHD010361 showed neoplastic lesions in the non-MeSHD004058 sequences. These lesions were evaluated in terms of visibility and signal intensity in DWIBS imaging. Non-malignant changes which showed high signal intensity in MeSHD004058 imaging were recorded in all examinations. RESULTS: 113 of the 125 DWIBS examinations were judged as technically good. MeSHD004058 imaging showed bright signal in the malignant lesions of 58 of the 64 MeSHD010361. The MeSHD009369 of 6 MeSHD010361 showed only moderately bright signal or were not discernible at all. Although partly performed with free MeSHD012119 of the MeSHD010361 and limited spatial resolution of the sequence, lesions with sizes close to voxel-size were able to be visualized. Some of the MeSHD010361 were seen in follow-up examinations and showed signal decrease of their lesions in case of MeSHQ000628 response and signal increase in recurrent MeSHD004194. CONCLUSION: Introduction of MeSHD004058-weighted imaging provides a new independent parameter in oncological scanning. DWIBS meets the requirements of a fast, robust technique. Homogeneous fat suppression allows the MeSHQ000706 of maximum intensity MeSHD011385 which may visualize the spread of the MeSHD004194 at first glance. Most of the MeSHD009369 entities examined in this study showed a bright signal in DWI. Exceptions were some osteoplastic MeSHD009362 and hemorrhaged lesions. Although sensitive, visual evaluation of signal intensity alone showed limited MeSHD012680. Detection of lesions in physiological hyperintense structures may be difficult. DWIBS imaging seems to be a sensitive tool in the search for MeSHD008223 and gastrointestinal MeSHD009369.
10605405	Ki-67, oestrogen receptor, and MeSHD011980 MeSHD011506 in the MeSHD006801 rete ovarii and in MeSHD004715.	AIM: To examine proliferative activity using the Ki-67 MeSHD011506, oestrogen receptor MeSHD011506, and MeSHD011980 MeSHD011506 expression in the rete ovarii, and to make comparisons with their expression in MeSHD004715. METHODS: MeSHD007150 was used to study the rete ovarii in 24 cases and MeSHD004715 in seven cases, using MeSHD000906 to Ki-67 MeSHD011506 (MeSHQ000254 fraction (GF) quantified using a point score MeSHD008722) and oestrogen receptor and MeSHD011980 (quantified using the H score MeSHD008722). RESULTS: There was no evidence of a significant difference in the Ki-67 MeSHD011506, oestrogen receptor, and MeSHD011980 in the rete ovarii in different phases of the MeSHD008597 (proliferative phase: GF = 1.052, oestrogen receptor H score = 13.4, MeSHD011980 H score = 15.32; secretory phase: GF = 0.736, oestrogen receptor H score = 7.5, MeSHD011980 H score = 1.84). The expression of all three MeSHD011506 was greater in the foci of MeSHD004715 (GF = 6.99, oestrogen receptor H score = 152.02, MeSHD011980 H score = 127.36) than in the rete ovarii (p < 0.0005-0.0008, MeSHD018709). CONCLUSIONS: There is a low rate of MeSHD049109 in the rete ovarii and this structure shows less responsiveness to MeSHD006728 stimulation than foci of MeSHD004715. These differences may provide a useful tool to distinguish the rete ovarii from MeSHD004715 in cases of diagnostic difficulty.
10629618	MeSHD006360 associated with MeSHD004260 MeSHD004798 in MeSHD006367.	Two MeSHD004798 of MeSHD004260 (BER), MeSHD051981 (UDG) and MeSHD019951 (beta pol), from MeSHD006367 co-eluted from MeSHC049225 FPLC columns. The UDG was completely displaced from 150-180-kDa fractions to 30- 70-kDa fractions by MeSHD003419 with 0.5 N NaCl, MeSHD006863 3.0, as expected when MeSHD011506-MeSHD011506 MeSHD001244 are disrupted, but beta pol was not displaced by this MeSHQ000628. UDG was not essential to the presence of beta pol in the 150-180-kDa MeSHD004798 complex. beta pol and UDG apparently reside in separate but co-eluting structures. Immunoaffinity MeSHD002845 showed that the MeSHD001244 of UDG and beta pol was accounted for by attachment in common to MeSHD004247 and that the MeSHD001244 was abolished by eliminating MeSHD004247. Evidence for base excision repairosomes containing UDG and beta pol in MeSHD011506-MeSHD011506 assemblies was not found. However, UDG and MeSHD006801 MeSHD043603 (HAP1) were associated with HSP70 and HSP27, which are present in 150-180-kDa and 30-70-kDa MeSHD011506 of MeSHD002477 sonicates. The MeSHD001244 of HSPs with BER MeSHD004798 was confirmed by MeSHD017665 MeSHD011506-MeSHD023302 and immunoaffinity tests. The MeSHD001244 of HSPs and BER MeSHD004798 is a novel finding. HSP binding may account for the presence of BER MeSHD004798 in the two large size class fractions and HSPs may have functional MeSHD012380 in BER.
